"First.ID","Loci.typed","Second.ID","Loci.typed.1","Matching.loci","Mismatching.loci","pID","pIDsib","Status","First.digest_id","First.extraction_id","First.sample_id","Second.digest_id","Second.extraction_id","Second.sample_id","mismatch_prop","First.anem_table_id","First.fish_table_id","First.Size","First.dive_table_id","First.ObsTime","First.id","First.date","First.name","Second.anem_table_id","Second.fish_table_id","Second.Size","Second.dive_table_id","Second.ObsTime","Second.id","Second.date","Second.name","First.lat","First.lon","Second.lat","Second.lon","date_eval","distkm","disteval","size_eval"
"L1733",809,"L0465",800,741,59,0,0,"Fuzzy match","D1821","E1687","APCL12_022","D0796","E0144","APCL13_018",0.07375,3883,5197,10.6,4,"15:22:00",4,"2012-05-06","Visca",NA,NA,NA,NA,NA,NA,NA,NA,10.74403858,124.78627014,NA,NA,NA,NA,NA,NA
"L2463",809,"L0721",809,798,11,0,0,"Fuzzy match","D2266","E1691","APCL12_026","D1038","E0790","APCL14_005",0.0135970333745365,3887,5201,11.5,4,"15:44:00",4,"2012-05-06","Visca",1865,3353,11,86,"15:26:00",86,"2014-06-07","Visca",10.74386311,124.78636932,10.74358177,124.78662109,NA,0.0416555057521397,NA,NA
"L2404",809,"L0464",801,724,77,0,0,"Fuzzy match","D2267","E1692","APCL12_027","D0793","E0140","APCL13_014",0.0961298377028714,3886,5200,10.6,4,"15:36:00",4,"2012-05-06","Visca",2797,4681,11.2,23,"15:25:00",23,"2013-05-22","Visca",10.74400997,124.78633118,10.74381256,124.78650665,NA,0.0291431263755328,NA,NA
"L2554",808,"L2238",808,777,31,0,0,"Fuzzy match","D2269","E1694","APCL12_029","D1934","E0633","APCL13_510",0.0383663366336634,3883,5716,10.4,4,"15:22:00",4,"2012-05-06","Visca",3578,4529,10.4,51,"17:18:00",51,"2013-06-01","Visca",10.74403858,124.78627014,10.74427032,124.78650665,NA,0.0364911082670225,NA,NA
"L2554",808,"L0719",809,790,18,0,0,"Fuzzy match","D2269","E1694","APCL12_029","D1036","E0788","APCL14_003",0.0222772277227723,3883,5716,10.4,4,"15:22:00",4,"2012-05-06","Visca",1862,3756,9.9,86,"15:01:00",86,"2014-06-07","Visca",10.74403858,124.78627014,10.74388599,124.78634644,NA,0.0189042854569448,NA,NA
"L2415",807,"L0277",809,745,62,0,0,"Fuzzy match","D2524","E1727","APCL12_062","D0580","E0367","APCL13_244",0.0768277571251549,3915,5226,7.1,8,"09:25:00",8,"2012-05-09","Palanas",3046,4809,8.7,37,"14:45:00",37,"2013-05-27","Palanas",10.87408447,124.71056366,10.87427521,124.71065521,NA,0.0234472889433756,NA,NA
"L2563",809,"L0285",809,805,4,0,0,"Fuzzy match","D2525","E1728","APCL12_063","D0588","E0375","APCL13_252",0.00494437577255871,3915,5567,3.4,8,"09:25:00",8,"2012-05-09","Palanas",3050,4251,7.5,37,"15:14:30",37,"2013-05-27","Palanas",10.87408447,124.71056366,10.87409592,124.71072388,NA,0.0175419777915995,NA,NA
"L2472",809,"L1624",807,785,22,0,0,"Fuzzy match","D2530","E1733","APCL12_068","D0533","E0320","APCL13_196",0.0272614622057001,3942,5723,3,8,"10:13:00",8,"2012-05-09","Palanas",2994,4206,7.6,35,"10:21:15",35,"2013-05-27","Palanas",10.87375546,124.71125031,10.87379265,124.71130371,NA,0.00714857120237349,NA,NA
"L2265",803,"L1268",809,747,56,0,0,"Fuzzy match","D2537","E1742","APCL12_077","D0798","E0585","APCL13_462",0.0697384806973848,3936,5244,8,8,"10:02:00",8,"2012-05-09","Palanas",3519,4932,9.7,48,"10:44:50",48,"2013-05-31","Palanas",10.87396812,124.71099091,10.87378311,124.71086121,NA,0.0249761038856074,NA,NA
"L2364",806,"L1622",807,789,17,0,0,"Fuzzy match","D2538","E1743","APCL12_078","D0524","E0311","APCL13_187",0.0210918114143921,NA,NA,NA,NA,NA,NA,NA,NA,2989,4201,10.1,35,"10:01:30",35,"2013-05-27","Palanas",NA,NA,10.87405014,124.71105194,NA,NA,NA,NA
