Missing data from input file 2016-11-14_13_geno.gen.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [L0255]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
     453           32             0000            36
     454            4             0000           140
     455            5             0000            42
     456           25             0000            33
     457            2             0000            49
     458            5             0000            38
     459           16             0000            50
     460            2             0000            37
     461            7             0000            35
     462            8             0000            99
     463            2             0000           105
     464            6             0000             2
     465          186             0000             1
     467          131             0000             1
     472           35             0000            60
     473           27             0000            46
     474          190             0000             2
     475          509             0000             4
     476           49             0000             7
     479          530             0000             1
     480           51             0000             2
     481           47             0000             9
     482          483             0000             1
     483          240             0000             1
     484          754             0000             1
-----------------------------------------------------------
Total missing data for population    1:        11199

