"sample_id","anem_id","old_anem_id"
"APCL16_458",2438,NA
"APCL16_465",2444,934
"APCL16_459",2441,NA
"APCL16_462",2442,NA
"APCL16_464",2443,NA
"APCL16_468",2445,472
"APCL16_471",2446,NA
"APCL16_480",2448,955
"APCL16_485",NA,NA
"APCL16_491",NA,NA
"APCL16_496",2449,NA
"APCL16_498",2450,936
"APCL16_499",2451,NA
"APCL16_503",2452,NA
"APCL16_504",2453,NA
"APCL16_507",2454,NA
"APCL16_508",2455,NA
"APCL16_509",2458,NA
"APCL16_510",2459,NA
"APCL16_511",NA,NA
"APCL16_512",2462,NA
"APCL16_516",2463,1098
"APCL16_517",2464,NA
"APCL16_519",2465,601
"APCL16_521",2466,NA
"APCL16_522",2469,NA
"APCL16_524",2060,NA
"APCL16_526",2469,600
"APCL16_529",2471,NA
"APCL16_531",2461,NA
"APCL16_532",2472,NA
"APCL16_478",2473,597
"APCL16_537",NA,NA
"APCL16_541",2474,NA
"APCL16_543",2475,NA
"APCL16_544",2476,595
"APCL16_547",2479,NA
"APCL16_549",2480,1122
"APCL16_551",2481,NA
"APCL16_555",2482,NA
"APCL16_556",2061,NA
"APCL16_557",2483,NA
"APCL16_560",2477,873
"APCL16_563",2486,NA
"APCL16_564",2487,913
"APCL16_565",2488,912
"APCL16_566",2490,428
"APCL16_570",2491,427
"APCL16_571",423,NA
"APCL16_575",2493,NA
"APCL16_576",2238,NA
"APCL16_580",2495,NA
"APCL16_577",2494,NA
"APCL16_582",2495,240
"APCL16_584",2497,1047
"APCL16_585",2498,NA
"APCL16_587",2499,NA
"APCL16_588",2069,NA
"APCL16_592",2500,NA
"APCL16_597",2067,NA
"APCL16_598",2501,NA
"APCL16_600",2072,NA
"APCL16_607",2502,NA
"APCL16_608",2503,691
"APCL16_615",NA,NA
"APCL16_620",2504,NA
"APCL16_627",2505,930
"APCL16_634",NA,NA
"APCL16_641",NA,NA
"APCL16_642",2506,NA
"APCL16_643",2507,NA
"APCL16_645",2508,NA
"APCL16_646",2509,NA
"APCL16_653",NA,NA
"APCL16_660",NA,NA
"APCL16_662",2510,NA
"APCL16_663",2511,NA
"APCL16_664",2512,NA
"APCL16_666",2513,NA
"APCL16_667",2514,NA
"APCL16_669",2515,NA
"APCL16_671",2516,NA
"APCL16_673",2517,NA
"APCL16_674",2518,NA
"APCL16_675",2519,508
