"anem_table_id","sample_id","size","anem_id","old_anem_id"
532,"APCL16_279",11.3,2304,704
533,"APCL16_281",7.8,2305,NA
535,"APCL16_283",6.5,1304,NA
536,"APCL16_285",5.6,2306,701
540,"APCL16_290",9.9,2309,NA
541,"APCL16_293",6.6,2310,NA
544,"APCL16_294",7.3,2311,NA
545,"APCL16_295",10.1,2312,NA
546,"APCL16_297",9,2313,NA
548,"APCL16_299",9.7,2314,NA
550,"APCL16_300",4.9,2315,NA
551,"APCL16_301",6.6,2316,NA
552,"APCL16_303",8.6,2317,NA
559,"APCL16_305",3.5,NA,NA
561,"APCL16_306",9.8,2318,377
563,"APCL16_308",7.9,51,NA
564,"APCL16_310",7,NA,NA
565,"APCL16_311",8.2,NA,NA
568,"APCL16_313",8.6,NA,NA
570,"APCL16_315",7.5,NA,NA
573,"APCL16_317",7.8,2401,NA
574,"APCL16_323",7.9,NA,NA
585,"APCL16_329",6.6,2402,NA
592,"APCL16_333",7.5,2403,NA
595,"APCL16_332",9,2405,NA
601,"APCL16_334",6.7,2406,1091
602,"APCL16_336",3.8,2407,NA
604,"APCL16_338",9.1,2408,NA
605,"APCL16_341",5.3,2409,NA
606,"APCL16_343",6.2,2087,NA
608,"APCL16_345",5.8,2410,NA
612,"APCL16_347",8.9,2131,NA
615,"APCL16_350",7.7,2411,NA
617,"APCL16_351",5.6,2412,1092
618,"APCL16_357",7.6,NA,NA
619,"APCL16_363",9.2,NA,NA
620,"APCL16_369",4.3,NA,NA
627,"APCL16_371",6.6,2413,NA
628,"APCL16_372",6.4,2414,NA
629,"APCL16_373",8.1,2415,1183
630,"APCL16_374",5.1,2416,NA
631,"APCL16_375",8.5,2404,NA
632,"APCL16_376",7.3,1098,NA
654,"APCL16_378",9.4,2417,NA
658,"APCL16_382",9.5,2418,NA
663,"APCL16_385",5.1,2419,NA
667,"APCL16_387",4.8,NA,NA
668,"APCL16_388",7.8,2420,NA
688,"APCL16_394",3.6,2421,NA
708,"APCL16_400",3.7,2422,NA
748,"APCL16_410",8.7,2423,NA
749,"APCL16_416",3.7,NA,NA
