"First.ID","Loci.typed","Second.ID","Loci.typed.1","Matching.loci","Mismatching.loci","pID","pIDsib","Status","First.digest_id","First.extraction_id","First.sample_id","Second.digest_id","Second.extraction_id","Second.sample_id","mismatch_prop","First.anem_table_id","First.fish_table_id","First.Size","First.dive_table_id","First.ObsTime","First.id","First.date","First.name","Second.anem_table_id","Second.fish_table_id","Second.Size","Second.dive_table_id","Second.ObsTime","Second.id","Second.date","Second.name","First.lat","First.lon","Second.lat","Second.lon","date_eval","distkm","disteval","size_eval"
"L2463",1038,"L0721",1038,943,95,0,0,"Fuzzy match","D2266","E1691","APCL12_026","D1038","E0790","APCL14_005",0.0915221579961464,3887,5201,11.5,4,"15:44:00",4,"2012-05-06","Visca",1865,3353,11,86,"15:26:00",86,"2014-06-07","Visca",10.74386311,124.78636932,10.74358177,124.78662109,NA,0.0416555057521397,NA,NA
"L2554",1033,"L2238",1021,957,64,0,0,"Fuzzy match","D2269","E1694","APCL12_029","D1934","E0633","APCL13_510",0.0626836434867777,3883,5716,10.4,4,"15:22:00",4,"2012-05-06","Visca",3578,4529,10.4,51,"17:18:00",51,"2013-06-01","Visca",10.74403858,124.78627014,10.74427032,124.78650665,NA,0.0364911082670225,NA,NA
"L2554",1033,"L0719",1033,935,95,0,0,"Fuzzy match","D2269","E1694","APCL12_029","D1036","E0788","APCL14_003",0.0922330097087379,3883,5716,10.4,4,"15:22:00",4,"2012-05-06","Visca",1862,3756,9.9,86,"15:01:00",86,"2014-06-07","Visca",10.74403858,124.78627014,10.74388599,124.78634644,NA,0.0189042854569448,NA,NA
"L2364",1023,"L1622",1027,915,98,0,0,"Fuzzy match","D2538","E1743","APCL12_078","D0524","E0311","APCL13_187",0.0967423494570582,NA,NA,NA,NA,NA,NA,NA,NA,2989,4201,10.1,35,"10:01:30",35,"2013-05-27","Palanas",NA,NA,10.87405014,124.71105194,NA,NA,NA,NA
"L2420",1038,"L2421",1001,947,54,0,0,"Fuzzy match","D2540","E1745","APCL12_080","D2540","E1745","APCL12_080",0.0539460539460539,3945,5252,4.7,8,"10:23:00",8,"2012-05-09","Palanas",3945,5252,4.7,8,"10:23:00",8,"2012-05-09","Palanas",10.87371159,124.71141815,10.87371159,124.71141815,"FAIL",0,NA,NA
"L2569",1038,"L0416",1038,939,99,0,0,"Fuzzy match","D2597","E1847","APCL12_183","D0382","E0169","APCL13_044",0.0953757225433526,4178,5385,7.8,14,"09:21:00",14,"2012-05-11","Poroc Rose",2835,4066,9.1,25,"13:26:30",25,"2013-05-23","Poroc Rose",10.75654697,124.7858429,10.75649357,124.78585052,NA,0.00599522232031301,NA,NA
"L2570",1038,"L0417",1038,940,98,0,0,"Fuzzy match","D2598","E1848","APCL12_184","D0383","E0170","APCL13_045",0.0944123314065511,4178,5648,7.7,14,"09:21:00",14,"2012-05-11","Poroc Rose",2835,4701,8.9,25,"13:26:30",25,"2013-05-23","Poroc Rose",10.75654697,124.7858429,10.75649357,124.78585052,NA,0.00599522232031301,NA,NA
"L2283",993,"L2385",1036,907,86,0,0,"Fuzzy match","D2616","E1866","APCL12_202","D2617","E1867","APCL12_203",0.0866062437059416,4199,5402,4.5,15,"11:47:00",15,"2012-05-11","Poroc San Flower",4200,5403,5.2,15,"11:54:00",15,"2012-05-11","Poroc San Flower",NA,NA,NA,NA,"FAIL",NA,NA,NA
"L2385",1036,"L3116",1021,965,56,0,0,"Fuzzy match","D2617","E1867","APCL12_203","D3288","E1866","APCL12_202",0.0548481880509305,4200,5403,5.2,15,"11:54:00",15,"2012-05-11","Poroc San Flower",4199,5402,4.5,15,"11:47:00",15,"2012-05-11","Poroc San Flower",NA,NA,NA,NA,"FAIL",NA,NA,NA
"L2434",1038,"L0316",1033,931,102,0,0,"Fuzzy match","D2644","E2293","APCL12_249","D0620","E0407","APCL13_284",0.0987415295256534,4275,5688,6.6,20,"09:18:00",20,"2012-05-14","Wangag",3133,4295,9.2,39,"11:55:30",39,"2013-05-28","Wangag",10.87162113,124.71391296,10.87174129,124.71392822,NA,0.0134650920220224,NA,NA
"L0485",999,"L0893",1038,935,64,0,0,"Fuzzy match","D0842","E0152","APCL13_027","D0982","E0802","APCL14_017",0.0640640640640641,2813,4047,9.4,24,"11:00:00",24,"2013-05-23","Poroc San Flower",1875,3760,9.3,88,"10:12:00",88,"2014-06-10","Poroc San Flower",10.76447487,124.78541565,10.76441574,124.78531647,NA,0.0126734178170279,NA,NA
"L0415",1036,"L3133",1037,932,103,0,0,"Fuzzy match","D0380","E0167","APCL13_042","D3304","E2852","APCL15_371404",0.0995169082125604,2831,4063,7.4,25,"13:20:30",25,"2013-05-23","Poroc Rose",1319,2527,10.1,149,"10:47:00",149,"2015-05-28","Visca",10.75659657,124.78594971,10.74367905,124.78675079,NA,1.43902614628351,"FAIL",NA
"L1040",994,"L1718",1036,890,102,0,0,"Fuzzy match","D0395","E0182","APCL13_057","D1785","E0182","APCL13_057",0.102822580645161,2846,4075,3.2,25,"14:24:45",25,"2013-05-23","Poroc Rose",2846,4075,3.2,25,"14:24:45",25,"2013-05-23","Poroc Rose",10.75499916,124.78512573,10.75499916,124.78512573,"FAIL",0,NA,NA
"L0423",1027,"L1719",1026,919,97,0,0,"Fuzzy match","D0425","E0212","APCL13_087","D1786","E0212","APCL13_087",0.0954724409448819,2882,4107,9.8,28,"15:40:45",28,"2013-05-24","Visca",2882,4107,9.8,28,"15:40:45",28,"2013-05-24","Visca",10.74347782,124.78665161,10.74347782,124.78665161,"FAIL",0.000134258785931453,NA,NA
"L0424",1037,"L0722",1036,988,47,0,0,"Fuzzy match","D0427","E0214","APCL13_089","D1039","E0791","APCL14_006",0.0454106280193237,2883,4108,7.9,28,"16:06:30",28,"2013-05-24","Visca",1866,2614,8.8,86,"15:49:30",86,"2014-06-07","Visca",10.74401379,124.78630066,10.74289894,124.7870636,NA,0.149380020137445,NA,NA
"L0425",1038,"L0427",1038,1038,0,0,3.88774757072713e-204,"Exact match","D0428","E0215","APCL13_090","D0439","E0226","APCL13_101",0,2883,4724,10.3,28,"16:06:30",28,"2013-05-24","Visca",2892,4116,6.1,29,"09:27:30",29,"2013-05-25","Sitio Tugas",10.74401379,124.78630066,10.80914021,124.76543427,NA,7.59196286274381,"FAIL","FAIL"
"L1072",1037,"L3137",1038,939,98,0,0,"Fuzzy match","D0441","E0228","APCL13_103","D3294","E2538","APCL15_369558",0.09450337512054,2893,4730,10.2,29,"09:49:30",29,"2013-05-25","Sitio Tugas",1655,1914,10.2,165,"14:20:00",165,"2015-06-05","Cabatuan",10.80638123,124.76611328,10.85484123,124.72779846,NA,6.82247966410312,"FAIL",NA
"L1084",1030,"L1092",1036,971,59,0,0,"Fuzzy match","D0458","E0245","APCL13_120","D0469","E0256","APCL13_131",0.0572815533980583,2907,4739,11.1,30,"12:55:15",30,"2013-05-25","Elementary School",2923,4141,10.7,31,"16:15:30",31,"2013-05-25","Elementary School",10.79913616,124.76850128,10.79891205,124.76868439,"FAIL",0.0319533089942015,NA,NA
"L0432",1035,"L1720",1034,959,73,0,0,"Fuzzy match","D0468","E0255","APCL13_130","D1787","E0255","APCL13_130",0.0707364341085271,2920,4139,6.8,31,"15:16:00",31,"2013-05-25","Elementary School",2920,4139,6.8,31,"15:16:00",31,"2013-05-25","Elementary School",10.79846382,124.76870728,10.79846382,124.76870728,"FAIL",0,NA,NA
"L1098",1038,"L0723",1035,964,71,0,0,"Fuzzy match","D0483","E0270","APCL13_145","D1040","E0819","APCL14_036",0.0685990338164251,2948,4763,9.6,32,"10:45:30",32,"2013-05-26","Tamakin Dacot",1916,3917,11.1,94,"11:34:00",94,"2014-06-12","Tamakin Dacot",10.65284348,124.78369904,10.65214634,124.78382111,NA,0.0786578331935258,NA,NA
"L0434",1037,"L0947",1018,931,86,0,0,"Fuzzy match","D0485","E0272","APCL13_147","D1137","E0815","APCL14_032",0.0845624385447394,2951,4168,11,32,"11:03:30",32,"2013-05-26","Tamakin Dacot",1913,2659,9.6,94,"11:14:00",94,"2014-06-12","Tamakin Dacot",10.65242672,124.78354645,10.65239716,124.78372192,NA,0.0194550199884923,NA,NA
"L0434",1037,"L1739",1019,919,99,0,0,"Fuzzy match","D0485","E0272","APCL13_147","D1800","E0815","APCL14_032",0.0972495088408644,2951,4168,11,32,"11:03:30",32,"2013-05-26","Tamakin Dacot",1913,2659,9.6,94,"11:14:00",94,"2014-06-12","Tamakin Dacot",10.65242672,124.78354645,10.65239716,124.78372192,NA,0.0194550199884923,NA,NA
"L0434",1037,"L2676",1026,922,103,0,0,"Fuzzy match","D0485","E0272","APCL13_147","D2835","E2477","APCL15_406357",0.100487804878049,2951,4168,11,32,"11:03:30",32,"2013-05-26","Tamakin Dacot",1730,1988,10.8,173,"10:51:00",173,"2015-06-11","Tamakin Dacot",10.65242672,124.78354645,10.65244579,124.78363037,NA,0.00941248889311285,NA,NA
"L1101",1038,"L1701",1035,1005,30,0,0,"Fuzzy match","D0488","E0275","APCL13_150","D1013","E0895","APCL14_126",0.0289855072463768,2955,4172,3.2,33,"12:04:15",33,"2013-05-26","Haina",2049,2788,8.1,99,"11:54:00",99,"2014-06-16","Haina, Punta",10.64080429,124.78508759,NA,NA,NA,NA,NA,NA
"L1102",1033,"L2348",1016,910,103,0,0,"Fuzzy match","D0490","E0277","APCL13_152","D1962","E0894","APCL14_125",0.101678183613031,2955,5056,5.2,33,"12:04:15",33,"2013-05-26","Haina",2047,2786,8.8,99,"11:38:00",99,"2014-06-16","Haina, Punta",10.64080429,124.78508759,NA,NA,NA,NA,NA,NA
"L1621",1019,"L0728",1038,938,81,0,0,"Fuzzy match","D0518","E0305","APCL13_181","D1058","E0907","APCL14_140",0.0794896957801766,2983,4778,4.2,34,"15:47:00",34,"2013-05-26","Sitio Baybayon",2076,2810,7.8,101,"15:56:00",101,"2014-06-16","Sitio Baybayon",10.63342381,124.77700806,10.63351631,124.77690887,NA,0.0149428882772867,NA,NA
"L0443",1029,"L3000",999,898,96,0,0,"Fuzzy match","D0541","E0328","APCL13_205","D3252","E0328","APCL13_205",0.096579476861167,3002,4212,10.3,35,"10:51:30",35,"2013-05-27","Palanas",3002,4212,10.3,35,"10:51:30",35,"2013-05-27","Palanas",10.87330437,124.71200562,10.87330437,124.71200562,"FAIL",0,NA,NA
